epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,6626.96,0.64706,0.42988,1.0393,0.97398,0.94962,0.93616,0.7988,0.65717,0.5166,1.09015,0.006832,0.006832,0.006832
98,6694.63,0.64363,0.41885,1.0392,0.97564,0.94884,0.93548,0.80099,0.6586,0.51393,1.09019,0.006799,0.006799,0.006799
99,6762.21,0.64743,0.4191,1.03945,0.97231,0.95034,0.935,0.80261,0.65692,0.50981,1.08957,0.006766,0.006766,0.006766
100,6829.98,0.64506,0.42133,1.03717,0.96828,0.94839,0.93531,0.80422,0.65563,0.50748,1.08882,0.006733,0.006733,0.006733
101,6897.6,0.64425,0.41764,1.03775,0.96693,0.94515,0.93372,0.80347,0.65564,0.51067,1.08949,0.0067,0.0067,0.0067
102,6965.21,0.64135,0.41527,1.03925,0.96792,0.9453,0.93267,0.8039,0.65532,0.50957,1.08879,0.006667,0.006667,0.006667
103,7032.89,0.64226,0.41532,1.03919,0.96853,0.94516,0.93749,0.80535,0.6541,0.50857,1.08759,0.006634,0.006634,0.006634
104,7100.76,0.63739,0.40994,1.0366,0.95952,0.95003,0.9359,0.80498,0.65366,0.50928,1.08733,0.006601,0.006601,0.006601
105,7168.37,0.63731,0.41555,1.03547,0.95269,0.95079,0.93472,0.80345,0.65355,0.51414,1.08785,0.006568,0.006568,0.006568
106,7235.99,0.63779,0.40863,1.03468,0.95791,0.9506,0.93368,0.80416,0.65352,0.51973,1.08764,0.006535,0.006535,0.006535
107,7303.71,0.63665,0.4057,1.03325,0.95833,0.94798,0.93319,0.80406,0.65316,0.52243,1.08735,0.006502,0.006502,0.006502
108,7371.54,0.63829,0.40848,1.03535,0.97232,0.93749,0.92991,0.80238,0.65354,0.52477,1.08734,0.006469,0.006469,0.006469
109,7439.27,0.63486,0.40167,1.03383,0.97345,0.93732,0.92993,0.80307,0.65413,0.52577,1.08795,0.006436,0.006436,0.006436
110,7507.01,0.63316,0.40752,1.03371,0.9515,0.95534,0.93208,0.80509,0.65408,0.52625,1.08842,0.006403,0.006403,0.006403
111,7574.89,0.63658,0.40616,1.03674,0.97317,0.94205,0.93519,0.80625,0.65339,0.52608,1.08857,0.00637,0.00637,0.00637
112,7642.82,0.63308,0.3998,1.03504,0.9766,0.94193,0.93752,0.80747,0.6534,0.5282,1.08836,0.006337,0.006337,0.006337
113,7710.68,0.63243,0.40584,1.03354,0.96986,0.94835,0.93957,0.80885,0.65391,0.53203,1.08902,0.006304,0.006304,0.006304
114,7778.71,0.63736,0.40513,1.03473,0.97026,0.9481,0.9382,0.80813,0.65396,0.53193,1.08915,0.006271,0.006271,0.006271
115,7846.53,0.63011,0.40771,1.03376,0.97068,0.94818,0.93609,0.80628,0.6545,0.53259,1.09018,0.006238,0.006238,0.006238
116,7914.45,0.6318,0.39439,1.0314,0.97375,0.94323,0.93478,0.80579,0.65442,0.53093,1.09056,0.006205,0.006205,0.006205
117,7982.56,0.62991,0.39727,1.03424,0.97326,0.94725,0.93697,0.80657,0.65486,0.52898,1.09097,0.006172,0.006172,0.006172
118,8050.57,0.62826,0.39503,1.03138,0.97506,0.94712,0.93726,0.8071,0.65558,0.52683,1.09129,0.006139,0.006139,0.006139
119,8118.54,0.63098,0.40019,1.03415,0.97489,0.94812,0.93706,0.80593,0.65618,0.52496,1.09205,0.006106,0.006106,0.006106
120,8186.37,0.62304,0.39254,1.02975,0.97254,0.95465,0.9378,0.80547,0.65621,0.52493,1.09279,0.006073,0.006073,0.006073
121,8254.23,0.62737,0.39309,1.03171,0.97051,0.95504,0.93788,0.80505,0.65666,0.52458,1.0933,0.00604,0.00604,0.00604
122,8321.77,0.62331,0.38658,1.03432,0.97175,0.95522,0.93809,0.80574,0.65629,0.52506,1.09347,0.006007,0.006007,0.006007
123,8389.4,0.62522,0.3878,1.03117,0.97238,0.95214,0.93841,0.80682,0.65619,0.5241,1.09375,0.005974,0.005974,0.005974
124,8457.28,0.6229,0.39756,1.02775,0.97399,0.94842,0.93761,0.80852,0.65619,0.52381,1.09405,0.005941,0.005941,0.005941
125,8525.02,0.62664,0.39118,1.03141,0.97398,0.9486,0.93747,0.80795,0.65587,0.52393,1.09369,0.005908,0.005908,0.005908
126,8592.87,0.61682,0.38806,1.0291,0.97383,0.94914,0.93733,0.80826,0.65583,0.5232,1.09344,0.005875,0.005875,0.005875
127,8660.69,0.62179,0.38956,1.02809,0.97333,0.94937,0.93702,0.80644,0.65614,0.52392,1.09362,0.005842,0.005842,0.005842
128,8728.68,0.62176,0.38565,1.0289,0.97365,0.94727,0.93759,0.8069,0.65663,0.52517,1.0938,0.005809,0.005809,0.005809
129,8796.44,0.62136,0.38132,1.02835,0.97276,0.94717,0.93728,0.80632,0.65711,0.52369,1.09425,0.005776,0.005776,0.005776
130,8864.15,0.61872,0.38439,1.02772,0.97262,0.94706,0.93707,0.80545,0.65721,0.52492,1.09412,0.005743,0.005743,0.005743
